n,num_trains,k,time,time_first_solution,solution_found,num_movements
0.1,30,423,1803.4046602249146,1803.4046602249146,False,167
0.5,30,5,28.34399151802063,28.34399151802063,True,184
0.5,30,4,23.628305673599243,23.628305673599243,True,186
0.5,30,6,29.87382483482361,29.87382483482361,True,174
0.5,30,5,30.95933985710144,30.95933985710144,True,193
0.5,30,339,1802.7389826774597,1802.7389826774597,False,195
0.5,30,9,59.55561399459839,59.55561399459839,True,186
0.5,30,16,82.68788599967957,82.68788599967957,True,170
0.5,30,11,56.41539716720581,56.41539716720581,True,172
0.5,30,8,46.936715602874756,46.936715602874756,True,175
0.5,30,13,65.47209572792053,65.47209572792053,True,159
0.5,30,3,21.53989052772522,21.53989052772522,True,193
0.5,30,5,28.015392541885376,28.015392541885376,True,171
0.5,30,3,20.473031044006348,20.473031044006348,True,188
0.5,30,10,51.00534534454346,51.00534534454346,True,172
0.5,30,4,26.498077154159546,26.498077154159546,True,182
0.5,30,4,21.648290634155273,21.648290634155273,True,180
0.5,30,7,39.95767569541931,39.95767569541931,True,174
0.5,30,9,49.656402349472046,49.656402349472046,True,196
0.5,30,11,60.01146149635315,60.01146149635315,True,187
0.5,30,6,44.07037544250488,44.07037544250488,True,198
0.5,30,3,21.88319230079651,21.88319230079651,True,178
0.5,30,6,32.274025440216064,32.274025440216064,True,171
0.5,30,10,54.36382985115051,54.36382985115051,True,174
0.5,30,5,33.329376220703125,33.329376220703125,True,174
0.5,30,4,25.332152605056763,25.332152605056763,True,180
0.5,30,5,30.61204242706299,30.61204242706299,True,197
0.5,30,10,53.016143798828125,53.016143798828125,True,167
0.5,30,375,1801.5263004302979,1801.5263004302979,False,173
0.5,30,24,113.72080373764038,113.72080373764038,True,176
0.5,30,4,27.607264757156372,27.607264757156372,True,168
0.5,30,4,27.48529863357544,27.48529863357544,True,183
0.5,30,5,32.2852725982666,32.2852725982666,True,154
0.5,30,5,33.43147325515747,33.43147325515747,True,177
0.5,30,48,408.18587160110474,408.18587160110474,True,167
0.5,30,4,23.08085536956787,23.08085536956787,True,176
0.5,30,5,25.471831560134888,25.471831560134888,True,168
0.5,30,7,40.77174520492554,40.77174520492554,True,189
0.5,30,415,1804.2005105018616,1804.2005105018616,False,152
0.5,30,355,1803.2126672267914,1803.2126672267914,False,164
0.5,30,9,49.882413387298584,49.882413387298584,True,156
0.5,30,5,30.272652626037598,30.272652626037598,True,158
0.5,30,6,31.845463514328003,31.845463514328003,True,180
0.5,30,395,1802.3920419216156,1802.3920419216156,False,183
0.5,30,5,29.372453927993774,29.372453927993774,True,164
0.5,30,4,25.304531812667847,25.304531812667847,True,181
0.5,30,403,1802.0146543979645,1802.0146543979645,False,180
0.5,30,394,1802.1845545768738,1802.1845545768738,False,164
0.5,30,6,31.85471510887146,31.85471510887146,True,179
0.5,30,8,40.164263010025024,40.164263010025024,True,181
0.5,30,4,25.142745971679688,25.142745971679688,True,190
0.5,30,6,32.31523680686951,32.31523680686951,True,190
0.5,30,404,1801.8658318519592,1801.8658318519592,False,183
0.5,30,4,23.065001249313354,23.065001249313354,True,188
0.5,30,347,1804.0321390628815,1804.0321390628815,False,174
0.5,30,7,41.53688454627991,41.53688454627991,True,197
0.5,30,7,38.97089672088623,38.97089672088623,True,185
0.5,30,6,32.71338510513306,32.71338510513306,True,178
0.5,30,13,63.54771685600281,63.54771685600281,True,151
0.5,30,379,1801.6006138324738,1801.6006138324738,False,171
0.5,30,4,24.760535955429077,24.760535955429077,True,178
0.5,30,4,25.505270957946777,25.505270957946777,True,175
0.5,30,8,42.98548436164856,42.98548436164856,True,189
0.5,30,6,29.865018367767334,29.865018367767334,True,176
0.5,30,11,62.967060565948486,62.967060565948486,True,165
0.5,30,6,34.053584575653076,34.053584575653076,True,190
0.5,30,11,58.567317724227905,58.567317724227905,True,175
0.5,30,5,30.209741353988647,30.209741353988647,True,181
0.5,30,6,36.00004577636719,36.00004577636719,True,184
0.5,30,397,1800.9824223518372,1800.9824223518372,False,150
0.5,30,5,33.048962354660034,33.048962354660034,True,172
0.5,30,5,28.757116079330444,28.757116079330444,True,181
0.5,30,5,29.26577925682068,29.26577925682068,True,171
