filename,found,total_computation_time
scenario_solver_28_trains_10_units28,True,00:00:23.5080753
scenario_solver_28_trains_10_units29,True,00:01:03.3229853
scenario_solver_28_trains_10_units3,True,00:00:22.0360693
scenario_solver_28_trains_10_units30,True,00:00:37.0010744
scenario_solver_28_trains_10_units4,True,00:00:28.0444044
scenario_solver_29_trains_10_units19,True,00:00:24.0577089
scenario_solver_29_trains_10_units2,True,00:00:53.1951858
scenario_solver_29_trains_10_units20,True,00:00:23.1354445
scenario_solver_29_trains_10_units21,True,00:00:44.2936568
scenario_solver_29_trains_10_units22,True,00:00:20.9575739
scenario_solver_33_trains_33_units28,True,00:02:30.9414834
scenario_solver_33_trains_33_units29,True,00:02:16.6273430
scenario_solver_33_trains_33_units3,True,00:01:53.0737591
scenario_solver_33_trains_33_units4,True,00:01:45.1119426
scenario_solver_5_trains_1_units23,True,00:00:04.0093828
scenario_solver_5_trains_1_units24,True,00:00:03.5593096
scenario_solver_5_trains_1_units25,True,00:00:04.2286923
scenario_solver_5_trains_1_units26,True,00:00:04.1647503
scenario_solver_5_trains_1_units27,True,00:00:03.5893051
scenario_solver_20_trains_20_units14,True,00:00:12.0628893
scenario_solver_20_trains_20_units15,True,00:00:13.7462290
scenario_solver_20_trains_20_units16,True,00:00:11.6494228
scenario_solver_20_trains_20_units17,True,00:00:10.0750512
scenario_solver_20_trains_20_units18,True,00:00:09.2885229
scenario_solver_10_trains_10_units1,True,00:00:04.7146615
scenario_solver_10_trains_10_units10,True,00:00:05.4442483
scenario_solver_10_trains_10_units11,True,00:00:03.9317207
scenario_solver_10_trains_10_units12,True,00:00:03.4137429
scenario_solver_10_trains_10_units13,True,00:00:03.8900849
scenario_solver_30_trains_1_units1,True,00:01:46.9469187
scenario_solver_30_trains_1_units10,True,00:01:01.3208566
scenario_solver_30_trains_1_units11,True,00:00:54.0442945
scenario_solver_30_trains_1_units12,True,00:01:41.3721730
scenario_solver_30_trains_1_units13,True,00:00:47.7982531
scenario_solver_26_trains_5_units14,True,00:00:18.5161675
scenario_solver_26_trains_5_units15,True,00:00:19.0834392
scenario_solver_26_trains_5_units16,True,00:00:18.1999164
scenario_solver_26_trains_5_units17,True,00:00:17.2820887
scenario_solver_26_trains_5_units18,True,00:00:17.3437098
scenario_solver_5_trains_2_units1,True,00:00:03.6163823
scenario_solver_5_trains_2_units10,True,00:00:03.6580908
scenario_solver_5_trains_2_units11,True,00:00:03.9151756
scenario_solver_5_trains_2_units12,True,00:00:03.6159139
scenario_solver_5_trains_2_units13,True,00:00:03.6506826
scenario_solver_15_trains_15_units23,True,00:00:09.4187740
scenario_solver_15_trains_15_units24,True,00:00:09.3599810
scenario_solver_15_trains_15_units25,True,00:00:08.6627216
